Price,Close,High,Low,Open,Volume,Return,Cumulative_Return,SMA20,EMA20,Volatility
Ticker,GMAT3.SA,GMAT3.SA,GMAT3.SA,GMAT3.SA,GMAT3.SA,,,,,
Date,,,,,,,,,,
2025-09-24,6.985955715179443,7.0651166116040685,6.95627061493829,7.015641287256758,4284100,,,,6.985955715179443,
2025-09-25,6.847424030303955,7.0156411682714,6.837528682500621,6.956270496959858,7862700,-0.01983002620163765,-0.01983002620163765,,6.972762221381778,
2025-09-26,6.860000133514404,7.110000133514404,6.760000228881836,7.110000133514404,6398400,0.0018366181435225393,-0.01802982824402355,,6.962022974918219,
2025-09-29,6.989999771118164,7.010000228881836,6.909999847412109,6.920000076293945,4507000,0.018950384121517505,0.0005788837066247332,,6.964687431699167,
2025-09-30,6.949999809265137,7.019999980926514,6.909999847412109,7.019999980926514,5340000,-0.005722455388096348,-0.005146884317657641,,6.963288610514973,
2025-10-01,6.889999866485596,6.980000019073486,6.849999904632568,6.96999979019165,4020100,-0.008633085528945483,-0.013735536354081201,,6.956308730131223,
2025-10-02,6.840000152587891,6.920000076293945,6.800000190734863,6.849999904632568,2585400,-0.007256852665689317,-0.020892712256164736,,6.9452317227461435,
2025-10-03,6.840000152587891,6.889999866485596,6.809999942779541,6.840000152587891,5409600,0.0,-0.020892712256164736,,6.935209668445357,
2025-10-06,6.659999847412109,6.880000114440918,6.659999847412109,6.840000152587891,5223900,-0.0263158335029684,-0.046658736621974506,,6.908999209299334,
2025-10-07,6.449999809265137,6.650000095367432,6.380000114440918,6.650000095367432,5932300,-0.03153153798172725,-0.07671905287772651,,6.865284980724648,
2025-10-08,6.460000038146973,6.53000020980835,6.429999828338623,6.460000038146973,2236400,0.0015504231283032244,-0.07528757674338649,,6.82668641476487,
2025-10-09,6.380000114440918,6.510000228881836,6.329999923706055,6.489999771118164,3445100,-0.012383889045456176,-0.08673911279195134,,6.784144862353065,
2025-10-10,6.340000152587891,6.420000076293945,6.269999980926514,6.420000076293945,2248400,-0.006269586384879289,-0.09246488081623372,,6.741845366184953,
2025-10-13,6.309999942779541,6.380000114440918,6.269999980926514,6.340000152587891,2295700,-0.004731894177652962,-0.09675924096271493,,6.700717230622533,
2025-10-14,6.199999809265137,6.309999942779541,6.150000095367432,6.309999942779541,6209500,-0.01743266790996978,-0.112505137157761,,6.653029857159924,
2025-10-15,6.25,6.320000171661377,6.130000114440918,6.25,5985000,0.00806454714081517,-0.10534789299913849,,6.614646061239931,
2025-10-16,6.170000076293945,6.230000019073486,6.110000133514404,6.190000057220459,3680500,-0.012799987792968759,-0.11679942904770335,,6.572298824578408,
2025-10-17,6.210000038146973,6.260000228881836,6.090000152587891,6.170000076293945,2459200,0.006482975908981503,-0.11107366102342087,,6.537794178251605,
2025-10-20,6.269999980926514,6.329999923706055,6.21999979019165,6.239999771118164,2760600,0.009661826475196644,-0.1024850089869973,,6.512289968982549,
2025-10-21,6.21999979019165,6.329999923706055,6.170000076293945,6.239999771118164,1930400,-0.007974512103184228,-0.10964225314561982,6.556168961524963,6.484452809097702,
2025-10-22,6.239999771118164,6.300000190734863,6.159999847412109,6.25,8578900,0.0032154311255849777,-0.10677936913347852,6.518871164321899,6.461171567385366,0.012449022188966746
2025-10-23,6.28000020980835,6.340000152587891,6.239999771118164,6.28000020980835,3159900,0.006410326948300238,-0.10105353285265717,6.490499973297119,6.44391715237803,0.012246594773828659
2025-10-24,6.309999942779541,6.369999885559082,6.269999980926514,6.28000020980835,1245900,0.004777027383587873,-0.09675924096271471,6.462999963760376,6.431163132416269,0.012340722570068493
